deg,mos_pred,model
2277/2277_1_advspeech_1.wav,2.5777809619903564,NISQAv2_mos_only
2277/2277_1_K.wav,5.183103084564209,NISQAv2_mos_only
2277/2277_1_WS.wav,4.803980350494385,NISQAv2_mos_only
2277/2277_2.wav,4.401003360748291,NISQAv2_mos_only
2277/2277_2_advspeech_0.wav,2.2312095165252686,NISQAv2_mos_only
2277/2277_2_advspeech_1.wav,3.1667308807373047,NISQAv2_mos_only
2277/2277_2_K.wav,4.85134744644165,NISQAv2_mos_only
2277/2277_2_Lw.wav,3.6286540031433105,NISQAv2_mos_only
2412/2412_1.wav,4.9468865394592285,NISQAv2_mos_only
2412/2412_1_advspeech_0.wav,2.3766942024230957,NISQAv2_mos_only
2412/2412_1_advspeech_1.wav,2.7398879528045654,NISQAv2_mos_only
2412/2412_1_K.wav,4.180694580078125,NISQAv2_mos_only
2412/2412_1_Lw.wav,3.310136318206787,NISQAv2_mos_only
2412/2412_2.wav,4.449400901794434,NISQAv2_mos_only
2412/2412_2_advspeech_0.wav,1.8404310941696167,NISQAv2_mos_only
2412/2412_2_advspeech_1.wav,2.7271082401275635,NISQAv2_mos_only
2412/2412_2_K.wav,5.0523295402526855,NISQAv2_mos_only
2412/2412_2_Lw.wav,3.9065823554992676,NISQAv2_mos_only
2412/2428_!_K.wav,4.896369457244873,NISQAv2_mos_only
2428/2428_1.wav,5.103523254394531,NISQAv2_mos_only
2428/2428_1_advspeech_0.wav,3.5555081367492676,NISQAv2_mos_only
2428/2428_1_advspeech_1.wav,3.3247358798980713,NISQAv2_mos_only
2428/2428_1_K.wav,4.857762336730957,NISQAv2_mos_only
2428/2428_1_Richy.wav,3.9632797241210938,NISQAv2_mos_only
2428/2428_2.wav,4.879635334014893,NISQAv2_mos_only
2428/2428_2_advspeech_0.wav,3.7379984855651855,NISQAv2_mos_only
2428/2428_2_advspeech_1.wav,3.44048810005188,NISQAv2_mos_only
2428/2428_2_K.wav,4.956931114196777,NISQAv2_mos_only
2428/2428_2_WS.wav,4.641638278961182,NISQAv2_mos_only
251/251_1.wav,5.045184135437012,NISQAv2_mos_only
251/251_1_advspeech_0.wav,3.3764421939849854,NISQAv2_mos_only
251/251_1_advspeech_1.wav,3.4960811138153076,NISQAv2_mos_only
251/251_1_K.wav,4.977121829986572,NISQAv2_mos_only
251/251_1_Ritchy.wav,4.501701831817627,NISQAv2_mos_only
251/251_2.wav,5.1598381996154785,NISQAv2_mos_only
251/251_2_advspeech_0.wav,2.5578665733337402,NISQAv2_mos_only
